english term	urdu equivalent
L Hospital's rule	ال ہوس پٹل کا قاعدہ
license	اجازت نامہ
Liebmann method	ترکیب لیبمن
lifetime	عرصہ زندگی، عرصہ حیات
lift	مصعد  (صعود اور نزول سے ماخوذ)
light year	نوری سال
likelihood function (estimates, statistics)	تفاعل امکان
limacons	گھونگے، گھونگا
Limit; (as t tend to zero, etc), limits	حد، حدیں
limit cycle (maths, phase plane)	تحدیدی دائرہ
limit: left-handed limit, right-handed limit, two-sided limit	بائیں ہاتھ حد، دائیں ہاتھ حد، دو طرفہ حد
limit point	تحدیدی نقطہ
limit state	تحدیدی حال
limit upper, lower	زیریں حد، بالائی حد
limit vector	تحدیدی سمتیہ
limiting: limiting slope	تحدیدی ڈھلوان
line	لکیر
linear accelerator	مسرع خطی
line current, line voltage	دباو تار، رو تار
linear component R,L,C	خطی پرزہ، خطی مزاحمت
linear element (of curve, maths)	خطی جزو
line charge density	خطی کثافت بار  (khati is linear and not line)
line voltage, line current	تار کی برقی دباؤ، تار کی برقی رو
line, surface, volume integral	خطی، سطحی، حجمی تکملہ
line, surface, volume integration	خطی تکمل، سطحی تکمل، حجمی تکمل
line: vertical line	انتصابی خط
linear, linearity 	خطی، خطی نوعیت
linear	بتدریج تبدیل ہونے والا
linear combination	خطی جوڑ، خطی مجموعہ
linear dependence	خطی طور تابعیت
linear equation	سادہ مساوات
linear expansion	طولی توسیع
linear function	سادہ تفاعل
linear independence	خطی طور غیر تابعیت
linear polarized	خطی قطبی، خطی تقطیب شدہ
linear relationship	وہ ترسیمی تعلق جو خطِ مستقیم کی صورت ظاہر کیا جائے اور دو متغیرات میں بلا واسطہ تعلق کق ظاہر کرے
linearity	خطیّت
linearization, linearized	خط بندی، خط بند
linearize	خطوط کی شکل دینا
linearly	خطی طور پر
linearly dependent, linearly independent	خطی طور تابع، خطی طور غیر تابع
Lissajous figures	لساجس اشکال
lithium	لتھیم
litre	لٹر
liquid	مائع
list	درج کرنا، فہرست
live wire, hot wire	زندہ تار، گرم تار
load data (digital circuits)	مواد چڑھانا
load, loaded, unloaded	بوجھ، بار ، بار بردار، بے بار، میکانی بار، برقی بار
lobe, main lobe (antenna)	مرکزی شعاع
lobe, minor lobe (antenna)	ثانوی شعاع
local, nonlocal [quantum mech]	مقامی، غیر مقامی
localization: principle of locality	اصول مقمایت
locality	مقام
localized	مقامی
lock, unlock	بندھن جوڑنا، بندھن توڑنا
Log-log, semi-log axis	لاگ لاگ، نیم لاگ محور
logarithm, logarithmic decrement	لوگارتھم، لوگارتھمی گھٹاو
logarithmic differentiation	    
logarithm, common, natural	قدرتی اور عام لوگارتھم
longitude	خط طول بلد
longitudinal wave	طولی موج
loop	گھیر
loop analysis	دائری تجزیہ
loop, node	دائرہ، جوڑ
loop closed	بند دائرہ
loop current	دائری رو
loophole, loopholes	کمی، کمیاں، کمزوری
loosely speaking	غیر محتاط طور پر ، سرسری طور پر ہم کہتے ہیں 
Lorentz force equation, Hendrik Lorentz	لورنز قوت کی مساوات، ہینڈرک لورنز
loss	ضائع کرنا، ضیاع
loss less, lossy	بے ضیاع، ضیاع کار
loss tangent	مماس ضیاع
lossy, loss less	ضیاع کار، بے ضیاع
lot	ڈھیر (ایک ہی ڈھیر)
lot: indifferent lot	لا تعلق کھیپ
lothar collatz	لوٹار کولٹز
Lotka-Volterra (predator-prey model); Alfred Jmaes Lotka, Vito Volterra	الفرڈ جیمز لوٹکا، ویٹو ولٹیرا
lower bound (of sequence)	زیریں حد بندی
lower: bounded from below (sequences)	نیچے سے محدود
lower limit	زیریں حد
luminosity	تابندگی
Lyman, Balmer, Paschen	لیمان، بالمر، پاشن
machine: working, faulty	فعال، غیر فعال
maclaurin's series: Colin Maclaurin	مکلارن تسلسل: کولن مکلارن
macroscopic, macroscopic level	کلاں، کلاں بینی سطح
magnetic circuit	مقناطیسی دور
magnetic field	مقناطیسی میدان
magnetic field intensity	مقناطیسی شدت
magnetic flux	مقناطیسی بہاو
magnetic flux density	کثافت مقناطیسی بہا
magnetic quantum number	مقناطیسی کوانٹائی عدد
magnetic susceptibility	مقاناطیسی اثر پذیری
magnetic tape	مقناطیسی پٹی
magnetically coupling	مقناطیسی رابطہ
magnification	تکبیر
magnifier, [magnifying]	تکبیر کار، [تکبیری]
magnify	بڑا دکھانا
magnitude	مقدار، جسامت
major, semimajor 	اکبر، نصف اکبر
majority	اکثریت
Manufacturer, manufacture	گھڑی ساز، دوا ساز، دوا سازی
Map, mapping (maths)	نقش، نقشہ، نقشہ کشی
marginal cost of production	حاشیہ لاگت پیداوار
marginal distribution	حاشیہ تقسیم
Maria Agnesi’s witch	مریا اگنیسی کی چڑیل
Mars planet	مریخ
match	ہم پلہ، جوڑیں
mathematician	ریاضی دان
Malthus' law; Thomas Robert Malthus	قانون مالتُھس؛ طامس روبرٹ مالتُھس
mass	ماس
mass production	بڑے پیمانے پر پیداوار
matched	ہم رکاوٹ
matching stub (transmission lines)	ہم رکاوٹی بنانے والا تار کا ٹکڑا؛ تار کا ٹکڑا
matching: half-wave matching (transmission lines)	نصف طول موج کی ترکیب
material	مادّہ،  مواد
material strength	مادی مضبوطی
mathematics	ریاضیات
matrix, matrices	قالب، قالبوں،قوالب
matrix: augmented matrix	افزودہ قالب
matrix: band matrix	پٹی قالب
matrix: coefficient matrix	عددی سر قالب
matrix, determinant	قالب، مقطع
matrix: diagonal matrix	وتری قالب
matrix: orthogonal matrix	قائمہ قالب
matrix: tridiagonal matrix	سہ وتری قالب
matrix: echelon form, reduced echelon form	زینہ دار، سادہ زینہ دار صورت
matrix: row echelon form	صف زینہ دار
matrix elements; vector components	قالب کے ارکان اور سمتیہ کے اجزاء
matrix: entry, row, column	قالب، اندراجات، صف، قطار
matrix:scalar matrix	غیر سمتی قالب
matrix:size	قالب کی جسامت
matrix: skew	منحرف قالب
matrix: unit, transpose,inverse	اکائی قالب، تبدیلی محل قالب، معکوس قالب
matrix equation	قالبی مساوات
Max-min theorem	مسئلہ کم سے کم اور زیادہ سے زیادہ
maxima, minima	زیادہ سے زیادہ نقاط، کم سے کم نقاط
maximum, minimum	کم سے کم، زیادہ سے زیادہ، انتہا، انتہائی، اعظم، اقل
maximum, minimum (in subscript like A_max)	بلندتر،کمتر
maximum power transfer theorem	زیادہ سے زیادہ طاقت منتقل کرنے کا مسئلہ
maxterms, minterms	ارکانِ جمع، ارکانِ ضرب
maxima, winmax ubuntu program	میکسما پروگرام
Maxwell, James Clerk Maxwell	میکسویل، جیمس کلارک میکسویل
Maxwell-Boltzmann distribution	میکسویل و بولٹزمن تقسیم
mean, median, mode	اوسط، وسطانیہ، عادہ
mean position, extreme position	وسطی نقطہ، انتہائی مقام
mean value theorem	مسئلہ اوسط قیمت
meanwhile	ساتھ ہی، اس دوران، اس اثنا میں
measure	ناپنا
measures of dispersion	انتشاری پیمانے
mechanism	تکنیکی پہلو
median (meddle quartile), lower & upper quartile, interquartile range	نصف چوتھائی، نچلی اور بالائی چوتھائی، چوتھائی سعت
median of a triangle	وسطانیہ
medium	ذریعہ
mega: mega meter	میگا
membrane	جھلی
Memory: RAM=volatile memory, ROM=non-volatile memory	حافظہ: عارضی حافظہ، پختہ حافظہ
mercury (planet)	عطارہ
meridian	نصف النھار
mesh, mesh analysis	جال، ترکیب جال
mesh size	جسامت جال
mesh point, nodal point (iteration, maths)	نقطہ جال، جوڑ
meson	میانیہ، میزون
metabolism	تحول
meteorite	شہاب ثاقب
method of least squares	ترکیب کمتر مربع
Michael	میکائل
micro	مائیکرو
microbes	جرثومے
microphone	مائکروفون
microwaves	خوردامواج
mid, centre	وسط
milli	مِلی
minimum, maximum	کم سے کم، زیادہ سے زیادہ
minterms, maxterms	ارکانِ جمع، ارکانِ ضرب
minor, semiminor	اصغر، نصف اصغر
minor lobe (antenna)	ثانوی شعاع
minor (matrix)	اصغر
Misra, Sudarshan	مسرا، سدرشان
missile	مزائل
mistake	غلطی
mixed differential du^2/dudy	مدغم تفرق
mmf	مقناطیسی دباؤ
Mobius strip:August Ferdinand Mobius	موبیوس پٹی: اگست فرڈینانڈ موبیوس
mobility, surface mobility, bulk mobility	سطحی حرکت پذیری، گہرائی پر حرکت پذیری، جسیم حرکت پذیری
modeling	نمونہ کشی
model;transistor model (mathematical model)	ریاضی نمونہ؛ باریک اشاراتی پائے ریاضی نمونہ
mode, mode of operation	طریقِ کار، اندازِ کارکردگی، طرز
mode [waves]	انداز
mode:higher order mode	انداز: بلند رتبی انداز
mode: higher mode frequency (wave guide)	انداز: بلند انداز تعدد
moderate	معتدل
modify	ترمیم کرنا
modular surface	مقیاسی سطح
modulate: modulate amplitude, modulate frequency	حیطہ ترمیم کرنا، تعدد ترمیم کرنا
modulating frequency, carrier frequency, modulating wave	تعددِ سوار، تعددِ سواری، سوار موج، سواری موج
modulus (absolute value of complex number)	معیار
modulus of elasticity, Young's modulus of elasticity	مقیاس لچک، (معیار لچک)، ینگ مقیاس لچک
molecule, molecular	سالمہ، سالماتی
moment, moments	معیار حرکت، معیار حرکات
moment, moment of force, dipole moment	معیار اثر، جفت قطب کا معیار اثر، قوت کا معیار اثر
moment: bending moment	خماو کا معیار اثر
moment: first and second moments	معیار اثر اول، معیار اثر دوم؛ پہلا معیار اثر، دوسرا معیار اثر
moment: kth moment	کے ویں معیار اثر
moment: kth central moment	کے ویں وسطی معیار اثر
moment of inertia	جمودی معیار اثر
moment arm of torque	مروڑی اثر کا بازو
moment: method of moments	ترکیب معیار اثر
momentum	معیار حرکت
momentum operator	عامل معیارحرکت
momentum space wave function	معیار حرکی فضا تفاعل موج
momentum transfer	منتقلی معیار حرکت
momentarily	لمحاتی طور پر، عارضی طور پر، پل بھر کے لئے
monoatomic ion, polyatomic ion	یک جوہری بارداریہ،  کثیر جوہری بارداریہ
monoatomic ion, polyatomic ion	
monochromatic	یک رنگی
monotone: monotone increasing, decreasing	یک سر بڑھتا، گھٹتا، یک کیفی بڑھتا یا گھٹتا
monotonic function	یک سُر تفاعل، یک کیفی تفاعل
moral	سبق
morphic:meromorphic	جزوی شکلہ
morphic: holomorphic	کل شکلہ
most, [more]	سب سے زیادہ، [زیادہ]
motivate	آمادہ کرنا
motivation	حوصلہ افزائی
motorway	موٹروے
multistage	کثیرالمراحل
multiple integrals	تکمل بالکثرت
multiple: multiple of ex	مضرب: ایکس کا مضرب
multiple point (of a curve)	متعدد نقطہ
multiplexer, mux	داخلی منتخب کار
multiplier, (multiplicand), [multlipliers]	ضارب یا ضریب، (مضروب)، [ضاربین]
multiply connected, multiply connected domain	مضرب تعلق، مضرب تعلق دائرہ کار
multivalued	کثیر قیمتی
muon, muonic	میون، میونی
muonic hydrogen	میونی ہائیڈروجن
muonium	میونیئم
mutivariable function	کثیر المتغیر تفاعل
mutual	باہمی، مشترکہ،اجتماعی
mutual distance	باہمی فاصلہ
mutual flux linkage	مشترکہ اِرتَباطِ رو
mutual inductance	مشترکہ امالہ
nabla	نیبلا
Nagasaki (japan)	ناگاساکی
naive	سادہ لوح
Napier (Neper)	نیپر
natural frequency	قدرتی تعدد ارتعاش
natural frequency: damped, undamped	بلا تقصیر قدرتی تعدد، مقصور قدرتی تعدد
name plate	معلوماتی تختی
nano	نینو
narrow range	محدود حد
natural response: complementary solution (diff eq)	فطری رد عمل
necessary (condition, maths)	لازم
negative	نفی
negligible	قابل نظر انداز
neighbourhood	پڑوس
Neils Henrik Abel	نیلز ہنری ایبل
Neper (wave attenuation), John Neper	نیپر (جان نیپر)
Neptune planet	نیپچون
net force	خالص، [کل، یا مجموعی]
net force	کل قوت، خالص قوت
net, [gross]	خالص،[کل]
Netherland	نیدرلینڈ
network: electrical network	جال: دوری جال
Neumann function; spherical neumann function	نیومن تفاعل، کروی نیومن تفاعل
neutral, neutral atom	تعدیلی، تعدیلی ایٹم
neutral wire, cold wire	تعدیلی تار، سرد تار، ٹھنڈی تار
neutralization	تعدیل
newton's law of cooling	نیوٹن کا قانون ٹھنڈک
nichrome	نائیکروم
nine sided, [ten sided]	متسع ضلع، [معشر ضلع]
Nobel prize	نوبل انعام یافتہ
nodal point, nodal lines (vibrations)	نقطہ صفر ہٹاو، صفر ہٹاو لکیر
node, anti node (string)	نقطہ صفر ہٹاو، عقدہ (عقدوں)، ضد عقدہ
node, loop, branch	جوڑ، دائرہ، بازو
node: super node	مخلوط جوڑ
nodal analysis	تجزیہ جوڑ
nodal voltage	دباو جوڑ
noise power (in resistor)	طاقت شور
noise temperature	حرارت شور
nomenclature	تسمیہ، اسم بندی
nonholonomic:  process	ہمہ قواعد؟؟؟؟؟، گرگٹی عمل
non homogeneous	ہر طرف غیر یکساں
non linear	غیر تدریجی
non-sinusoidal	غیر سائن نما
non zero	غیر صفر
Norm; norm of functions (orthogonal functions)	معیار
normal matrix	عمودی قالب
normal (not special)	عمومی
Normal, binormal , principal normal (maths)	عمودی، خطِ عمود، دوہرا عمودی، صدر عمودی 
normal distribution, normal distributed	عمومی تقسیم، عمومی بانٹی ہوئی
normal mode:nth normal mode (vibrating string)	این ویں عمودی انداز
normalization condition	معمول زنی شرط
normalizable, non-normalizable	قابل معمول زنی، [ناقابل معمول زنی]
normalization, normalization constant	معمول زنی، مستقل معمول زنی
normalize, normalize with alpha	معمول زنی کرنا
normalized	معمول شدہ
normal line	خطِ عمودی
north pole	شمالی قطب
Norton Theorem: Edward Lawry Norton	ایڈورڈ لوری نارٹن
Norway	ناروے
notation	علامت نویسی، علامتی اظہار
notation: short notation	مختصر علامت
notch filter	دندانہ چھلنی
note	تبصرہ، رقعہ، تذکرہ، توجہ کریں
note that	یاد رہے کہ، دھیان، توجہ
noting that…	یہ جانتے ہوئے کہ۔۔۔
notice	محسوس کرنا، دھیان دینا
Nucleus, nuclei	مرکزہ، مراکزہ
nucleus: parent, daughter	والدہ مرکزہ، بیٹی مرکزہ، مرائی مرکزہ
nuclear	مرکزوی
nuclear fission reaction, [nuclear fusion reaction]	مرکزوی انشقاق تعامل، [مرکزوی ملاپ تعامل]، [مرکزوی اختلاطی تعامل]
nuclear: nuclear  short range, midrange, long range forces	مرکزوی کم فاصلہ، درمیانی فاصلہ، طویل فاصلہ قوت
Nucleus (cell)	مرکزہ
nucleon	مرکزویہ
Null, nullity (set, maths), null space	معدوم، معدومیت، معدوم فضا
null point	معدوم نقطہ
number theory	اعدادی نظریہ
numbered from 1 to n	ہم انہیں 1 تا 10 کی شمار سے ظاہر کرتے ہیں۔
numerator	شمار کنندہ
numerical aperture (optical fiber sin theta)	عددی شگاف
numerical, iteration	عددی، دہرانا
numerical method	اعدادی طریقہ
numerical technique	اعدادی ترکیب
number 	عدد
numbered	شمار، شمارہ
numbered, numbered labels, numbered list	گنتی وار، گنتی وار نام، گنتی وار سلسلہ
neutron star	نیوٹران ستارہ
nutrino	نیوٹرینو
Nyquist criterion	اصول نی کوسٹ
observables	قابل مشاہدہ
observation	مشاہدہ
object	چیز
observed (probability)	مشاہدہ کرنا
observed values	مشاہدے سے حاصل قیمتیں
observer,observatory	مشاہدہ کار، مشاہدہ گاہ
obtuse angle (greater than 90)	زویہ منفرجہ
occupy: (occupy the same state)[QM]	مکین ہونا، ایک حال کے مکین ہیں
occupational number	تعداد مکین
occupied state, unoccupied state, [empty state]	، [خالی حال،غیر خالی حال] آباد حال، غیر آباد حال
octant	ثُمن ، مثمن
octave((software)	آکٹیو
odd, oddness	طاق، طاق پن
odd function symmetry	طاق تفاعل تشاکل
ODE (ordinary differential equation)	سادہ تفرقی مساوات
odometer	مسافت پیما
ofcourse	یقیناً
offset voltage: read output offset voltage	
Ohm :Georg Simon Ohm	اوہم : جارج سائمن اوہم
ohm meter	مزاحمت پیما
oil refinery	تیل صاف سازی کا کارخانہ
omit	ترک کرنا
omnidirectional antenna	غیر سمتی اینٹینا
one to one correspondence	ایک ایک مطابقت
one, precisely one	واحد ایک
onto, into (transformation of Domain onto/into Range)	میں، پر
opaque	غیر شفاف
open, closed	بند، کھلا
open circuit	کھلا برقی دور
open loop, open surface	کھلا دائرہ، کھلی سطح
operating characteristic (OC, testing of hypothesis, maths)	خاصیت کارکردگی
operating characteristic curve	منحنی خاصیت کارکردگی
operation (maths: add, subtract, etc)	عمل
operation	کارکردگی
operator, operators	عامل، عاملین
operator; differential operator D, identity operator I (Iy=y)	عامل؛ تفرقی عامل ؛ مماثلی عامل
operator; ladder, raising, (lowering)	سیڑھی عامل، عامل رفعت، عامل تقلیل
optics	بصریات
optical fibre	شیش ریشہ
optical frequency, optical wavelength	بصری تعدد، بصری طول موج
optic nerve	عصب بصری، عصب بینائی
optimum	بہترین
optimize	بہترین بنانا
options; a bit containing d distinct options	 ایک ٹوکرا جس میں  حق انتخاب ہوں
opto coupler	ضیاعی وابستہ کار
orbital, orbitals	مدارچہ، مدارچے
orbital angular momentum	مدارچی زاویائی معیار حرکت
order: order something	منگوانا
order: cost of placing order	مال منگواتے وقت ادائگی
order	رتبہ
order	نظم
order: first-order correction, second-order correction	اول رتبی تصحیح، دوم رتبی تصحیح
Order: 10^5 has order 5	رتبہ
order: x will have to be of the order y	ایکس کو لگ بھگ وائے کے برابر ہونا ہو گا
order of zeroes	رتبہ
order: write them in a certain order	منظم کرنا، نظم
order of magnitude	مقدار کا رتبہ
Ordered pair, ordered triples	مرتب جوڑی، مرتب تین اعداد
ordinary	سادہ
ordinary differential equation	سادہ تفرقی مساوات
ore: metal ore, coal ore	خام دھات، خام کوئلا
orientable	قابل سمت بند
orientation	سمت بندی
origin, coordinate system	مبدا
orthodox (interpretation)	تقلید پسند مفہوم
orthogonal	قائمہ، عمودی
Orthogonal ; mutually orthogonal	باہمی عمودی، باہم عمودی، باہم قائمہ
orthogonal projection	تظلیل قائمہ: وہ تظلیل جس میں روشنی کی شعاعیں عمودی پڑتی ہیں
orthogonal trajectories	عمودی  خطوط، قائمہ خطوط
orthogonality	قائمیت، عمودیت
orthogonally	قائمی طور پر
Orthonormal	معیاری قائمہ الزاویہ، معیاری عمودی،
orthonormality	معیاری قائمیت، معیاری عمودیت
orthonormalization	معیاری عمود زنی
orthonormalized	معیاری عمود شدہ
orthorhombic	قائمی معّین
oscar perron	اسکار پیغوں
oscillate: to oscillate	ارتعاش پذیر
oscillation, oscillations	ارتعاش، ارتعاشات
oscillator	مرتعش، مرتعشات
osmosis	انجذاب
other: the other way around	الٹ کر کے
otherwise	بصورت دیگر
out / in	خارج، داخل
outer electron, outer shell	باہری الیکٹران، باہری خول
outgoing spherical wave	رخصتی کروی موج
outcome	انجام
output offset voltage, input offset voltage	داخلی انحرافی برقی دباؤ، خارجی انحرافی برقی دباؤ
out of phase: when angles are not equal	الگ زاویہ ہونا
output	ماحصل
output	پیداوار
output pin, output port	خرجی پنیہ، خارجی راہ, برآمد، برآمدی
over damped	زیادہ مقصور
overkill	توپ سے چوہا مارنا
overlapped, partially overlapped region	منطبق، جزوی منطبق خطہ
overlap	ڈھانپنا، چڑنا، چھانا
overlap integral (quantum mech)	ڈھانپائی تکمل
overview	 جائزہ، سرسری جائزہ
Pacific ocean	بحرالکاہل
packet: spectral packet	شعاعی پٹی
packet: wave packet (quantum mech)	موجی اکٹھ
pair annihilation	نابودی جفت، نابودگی جوڑا
PAL	قابلِ تشکیل ایند جوڑ کے منتقی ترکیبی دور
paper: scientific paper	مقالہ
Pappus theorem (maths)	مسئلہ پاپس
parabola, parabolas	قطع مکافی، قطعات مکافی
paraboloid	قطع مکافی مجسم  قطع مکافی سطح
paradox	تضاد
parahelium	نزد ہیلیم
parallel (parallel circuit)	متوازی
parallel, anti-parallel	متوازی، ضد متوازی
parallel axis theorem	مسئلہ متوازی محور
parallel lines	مماثلت، مماثل لکیر
parallel port	متوزی راہ
parallelogram law	متوازی الاضلاع: سمتیوں کا متوازی الاضلاع
parallelepiped, hexagonal; rectangular	مسدسی متوازی السطوح، مستطیلی متوازی السطوح
parameter	مقدار معلوم
parameter: impact parameter	ٹکراو مقدار معلوم
parametric curve	منحنی مقدار معلوم
parametric representation, parametric form	مقدار معلوم روپ
parametrization	مقدار معلوم روپ کا حصول
parasitic	غیر مطلوب
Parseval's theorem	مسئلہ پارسیوال
partial differential equations: elliptic, parabolic, hyperbolic	بیضوی، قطع مکافی اور قطع زائد جزوی تفرقی مساوات
partial fraction	جزوی کسر
partial fraction expansion	 جزوی کسری توسیع
partial fractions: method of partial fractions	جزوی کسری ترکیب
partial sum	جزوی مجموعہ
partial wave analysis	جزوی موج تجزیہ
partial wave amplitude	جزوی موج حیطہ
particle: one-particle, two-particle, three-particle state	ایک ذروی، دو ذروی، تین ذروی حال
particle, particles	ذرہ، ذرات
particle physicist	ماہر طبیعیات ذرات
particular solution	مخصوص حل
partition: the partition, partitions	خانے بنانا، خانہ یا خانے، خانہ بندی
partition norm	خانہ بندی کا معیار
Pascal triangle	پاسکل تکون،  الکراجی تکون
Pashen	پاشن
Pashen-Back effect	پاشن و بیک اثر
passive sign convention	انفعالی رائج سمت
password	خفیہ لفظ، سم سم،  کھل جا سم سم
Pasternack relation	پسترنک رشتہ
patch	قطعہ
patch, patching wave function (quantum mech)	پیوند کرنا، پیوند کار تفاعل موج
patching region	پیوندکار خطہ
patent	سند ایجاد
path	راہ
path: independent of path	راہ سے آزاد
pathological	غمگیر، گھمبیر
pattern	طرز
pattern: primary, secondary (antenna)	انفرادی نقش، قطاری نقش
Pauli spin matrices (Wolgang Ernst Pauli)	ولگنگ ارنسٹ پالی، پالی قالب چکر
Pauli exclusion principle	پالی  اصول مناعت
peak	چوٹی
peaked	نوکیلے ابھار جیسی (جیسا)
peel off	چھیلنا
pendulum: simple pendulum	لٹکن، سادہ رقاص
percentile	صدویہ
perfect square	مکمل چوکور
perform	سرانجام دینا
perigee	حضیض
perihelion	حضیض شمس
periodic, aperiodic, periodicity	دوری، غیر دوری، دوریت
periodic table	دوری جدول
period: time period	دوری عرصہ
periodic motion	دوری حرکت
perimeter	محیط
permanent	دائمی
permeability, relative permeability	مقناطیسی مستقل، اضافی مقناطیسی مستقل
permitivity, relative permitivity	برقی مستقل، اضافی برقی مستقل
perpendicular	سیدھا کھڑا
perpendicular, drop a perpendicular	عمودی، عمود گرانا
perpendicular axis theorem	مسئلہ عمودی محور
perturbation: perturbation theory	خلل، اضطراب، نظریہ اضطراب
perturbation: first order theory, second order theory	رتبہ اول نظریہ، رتبہ دوم نظریہ
perturbation: first order correction, (second order)	رتبہ اول درستگی، اول رتبی تصحیح، ، (دوم رتبی)
perturbed, unperturbed	مضطرب، غیر مضطرب
pH (acidity)	طاقت ہائیڈروجن
pharmaceutical	دوا ساز
pharmacist	دوا ساز
phase	زاویاتی دور، زاویائی فرق،  ہیّت
phase: single phase and three phase system	یک دوری، تین دوری نظام، 
phase angle	زاویائی فاصلہ
phase constant, attenuation constant (waves)	زاویائی مستقل، تقلیلی مستقل
phase current, phase voltage	دوری دباو، دوری رو
phase difference	زاویائی فرق
phase plane, phase diagram, phase plane representation	سطح مرحلہ، شکل مرحلہ، سطح مرحلہ اشکال
phase shift (quantum mech)	منتقلی ہیّت، ہیّتی انتقال
phase velocity, group velocity	دوری سمتی رفتار، مجموعی سمتی رفتار، گروہی سمتی رفتار
phase voltage, phase current	دوری برقی دباؤ، دوری برقی رو
phase: in phase: when angles are equal	ہم زاویہ
phase: out of phase: when angles are not equal	الگ زاویہ ہونا
phase point	زاویائی نقطہ
phase portrait (maths)	پیکر مرحلہ
phasor	دوری سمتیہ
phillip ludwig von seidel	فلپ لڈوگ ون زائڈل
philosopher	فلسفی
photon, photons	نوریہ، نوریے، نوریوں
photosynthesis	ضیائی تالیف
Picard’s method  (french pronunciation)	ترکیب پکاغ
Picard: Charles Emile Picard (french pronunciation)	شاغل مل پکاغ
pick	اٹھانا
piecewise continuous	ٹکڑوں میں استمراری
piecewise defined function	ٹکڑوں میں معین تفاعل
Pierre de Fermat	پیئغ د فغما
piezoelectric crystal	داب برقی قلم
pin, pins	پنیا، پنیے
pipe	نالی، نل
piston	بوکا
pivot	چول
pivot point (interpolation)	چول قیمت
pivotal coefficient	چول عددی سر
pivotal equation	چول مساوات
PLA	قابلِ تشکیل اینڈ اور آر جوڑ کے منتقی ترکیبی دور
plan: sampling plan	منصوبہ: نمونی منصوبہ
Plancherel theorem	مسئلہ پلانشرال
Planck's constant	مستقل پلانک
plane curve	مستوی منحنی
plane; plane wave	مستوی موج
plane: infinite plane, infinite surface	لامحدود وسعت کی سطح
plane line, plane surface	سیدھی لکیر، سیدھی سطح
plane (surface)	مسطح (سطح)
planar sheet	مسطح چادر
planet	سیارہ، سیارات
planimeter	سطح پیما
platform	چبوترا
plausible	بظاہر معقول
Pluto	پلوٹو
point=dot, [point of view]	نقطہ، [نکتہ]
point:dotted line	نقطہ دار لکیر
point: interior, left endpoint, right endpoint,exterior point	اندرونی نقطہ، دائیں سر نقطہ، بائیں سر نقطہ، بیرونی نقطہ
point:starting point, criticize, points of discussion	ابتدائی نقطہ، نکتہ چینی، نکات
Poisson integral formula, Simeon Denis Poisson	پوسوں تکملی کلیہ؛ سمیوں دنی پوسوں
polar, non polar	قطبی، غیر قطبی
polar coordinates	قطبی محدد
polar representation, polar form	قطبی روپ
polar	قطبی
polarizing	تقطیبی
polarizable	قابل تقطیب
polarizability	تقطیبیت
Polarization: wave polarization, linear, elliptic and circular	تقطیب: تقطیب موج، خطی، بیضوی، دائری تقطیب
polarization: to polarize, polarized	تقطیب زنی، تقطیب شدہ
polarized	تقطیب شدہ
pole, poles	قطب، قطبین
Pole-zero plot	ترسیم قطبین و صفر
pollution, (pollutant)	آلودگی، (نجاست)
polished, to polish	چمکدار، چمکدار بنانا
polygon	کثیر الاضلاع
Polynomial	کثیر رکنی
population	آبادی
position	مقام، درجہ، صورت، حالت، انداز، جگہ
position distribution	موضعی تقسیم
position wave function	موضع تفاعل موج، مقامی تفاعل موج
position space wave function	موضع و فضائی تفاعل موج، مقام و فضائی تفاعل موج
position: extreme position	انتہائی مقام
position vector, function	تعین گر سمتیہ، تفاعل
positional	مقام کے متعلق، موضع کے متعلق
positioner	مقام  تعین کرنے والا
positron, [positronium]	ضد برقیہ، ضد الیکٹران، [پازیٹرانیم]
possible, impossible	ممکن، ناممکن
possibilities	ممکنات
post	اسامی
Postulate (matric)	اصول موضوعہ
potential, potentials	مخفی قوہ، مخفیہ، مخفیے
potential: chemical potential	کیمیاوی مخفیہ
potential: complex potential	مخلوط مخفی قوہ، مخلوط مخفیہ
potential hill	پہاڑ مخفیہ
Potential: potential theory	نظریہ مخفی قوہ، نظریہ مخفیہ
potential energy	مخفی توانائی
powder	برادہ
power	طاقت
power function (testing hypothesis, maths)	تفاعل طاقت
power relation of complex, real and reactive: S=P+jQ	
power:complex S, real P, reactive Q, apparent abs(S)	مخلوط، حقیقی، متعاملی اور ظاہری
power units:complex=VA, real=Watt, reactive=var	
power amplifier	قوی ایمپلی فائر
power electronics	طاقت سنبھالنے والی الیکٹرانکس،  پُرطاقت الیکٹرانکس، قوی الیکٹرانکس
power factor correction	درستگی جزو طاقت؛ جزو طاقت کی درستگی تصحیح
power factor, power factor angle	طاقت کا جُزو ضربی، جُزو ضربی طاقت، طاقت کے جُزو ضربی کا زاویہ
power factor	جزو طاقت
power factor angle	زاویہ جزو طاقت
power loss	ضیاع طاقت
power plant	بجلی گھر
power series	طاقتی سلسلہ ، طاقتی تسلسل
power supply	برقی طاقت کی سپلائی
power supply. AC, DC	یک سمت منبع، بدلتا منبع
power triangle (electric circuits)	طاقتی تکون
poynting vector, John Henry Poynting	پوئنٹنگ سمتیہ، جان ہنری پوئنٹنگ
practically	عملی طور پر، عملاً
practice (exercise)	مشق
preamplifier	ابتدائی ایمپلی فائر
precipitation, [precipitate]	ترسیب، [رسوب]
precise definition	باضابطہ تعریف
